Product Type,Product Weight (kg),Purpose,Vehicle Type,maxWeightCapacity
Fruits,5064,crops,Dropside Truck,6400
Fruits,12086,crops,10 Wheeler Dump Truck,12805
Frozen Fish,1892,perishable goods,Small Refrigerated Truck,2572
Fresh Vegetables,4028,perishable goods,Medium Refrigerated Truck,4639
Eggs,5943,perishable goods,Large Refrigerated Truck,7213
Goats,4751,livestock,Large Livestock Truck,6034
Chickens,407,livestock,Small Livestock Truck,1434
Pigs,1476,livestock,Small Livestock Truck,2178
Milk,2354,perishable goods,Small Refrigerated Truck,2575
Leafy Greens,11982,perishable goods,10 wheeler Reefer Truck,12783
Fresh Vegetables,8243,perishable goods,Large Refrigerated Truck,8345
Vegetables,6136,crops,Dropside Truck,7566
Frozen Fish,10622,perishable goods,10 wheeler Reefer Truck,11854
Vegetables,9924,crops,10 Wheeler Cargo Truck,11821
Rice,12029,crops,10 Wheeler Dump Truck,13540
Vegetables,3371,crops,Elf Truck,4928
Milk,5420,perishable goods,Large Refrigerated Truck,5649
Pigs,8671,livestock,10 wheeler Livestock Truck,10576
Rice,3151,crops,Large Pickup Truck,3616
Frozen Fish,5307,perishable goods,Large Refrigerated Truck,5726
Frozen Fish,8600,perishable goods,Large Refrigerated Truck,9324
Milk,1997,perishable goods,Small Refrigerated Truck,2323
Goats,4772,livestock,Large Livestock Truck,5415
Chickens,10012,livestock,10 wheeler Livestock Truck,11133
Pigs,4702,livestock,Large Livestock Truck,5743
Fresh Vegetables,269,perishable goods,Small Refrigerated Van,550
Rice,2598,crops,Large Pickup Truck,4475
Cows,4264,livestock,Large Livestock Truck,5027
Corn,12090,crops,10 Wheeler Dump Truck,13624
Chickens,703,livestock,Small Livestock Truck,887
Chickens,3513,livestock,Large Livestock Truck,3991
Milk,9544,perishable goods,10 wheeler Reefer Truck,10361
Eggs,7431,perishable goods,Large Refrigerated Truck,7802
Vegetables,6029,crops,Dropside Truck,7083
Vegetables,3186,crops,Elf Truck,4803
Fruits,14794,crops,10 Wheeler Dump Truck,15564
Goats,470,livestock,Small Livestock Truck,597
Leafy Greens,1702,perishable goods,Small Refrigerated Truck,2134
Eggs,1039,perishable goods,Medium Refrigerated Van,2226
Rice,499,crops,Tricycle,982
Rice,9543,crops,10 Wheeler Cargo Truck,10719
Fresh Vegetables,5265,perishable goods,Large Refrigerated Truck,5488
Fruits,1481,crops,Large Multicab,1696
Chickens,3388,livestock,Large Livestock Truck,4326
Pigs,421,livestock,Small Livestock Truck,1853
Milk,1411,perishable goods,Large Refrigerated Van,2436
Eggs,4785,perishable goods,Medium Refrigerated Truck,5302
Vegetables,10512,crops,10 Wheeler Cargo Truck,12021
Leafy Greens,5280,perishable goods,Large Refrigerated Truck,5467
Rice,13650,crops,10 Wheeler Dump Truck,14716
Cows,2724,livestock,Medium Livestock Truck,3085
Corn,13225,crops,10 Wheeler Dump Truck,14398
Milk,587,perishable goods,Small Refrigerated Van,2275
Vegetables,1862,crops,Large Delivery Van,2318
Fruits,7292,crops,Dropside Truck,8125
Cows,8536,livestock,10 wheeler Livestock Truck,8962
Fresh Vegetables,1214,perishable goods,Large Refrigerated Van,2351
Milk,5970,perishable goods,Large Refrigerated Truck,7106
Eggs,6413,perishable goods,Large Refrigerated Truck,6601
Goats,5722,livestock,Large Livestock Truck,6210
Cows,10385,livestock,10 wheeler Livestock Truck,12014
Meat,7341,perishable goods,Large Refrigerated Truck,7721
Meat,9285,perishable goods,10 wheeler Reefer Truck,10082
Cows,1793,livestock,Medium Livestock Truck,3241
Fruits,3622,crops,Heavy Duty Pickup Truck,4091
Leafy Greens,10952,perishable goods,10 wheeler Reefer Truck,11302
Milk,6055,perishable goods,Large Refrigerated Truck,6518
Leafy Greens,128,perishable goods,Small Refrigerated Van,1127
Rice,828,crops,Small Pickup Truck,2245
Eggs,11492,perishable goods,10 wheeler Reefer Truck,13231
Vegetables,6593,crops,Dropside Truck,8022
Eggs,9846,perishable goods,10 wheeler Reefer Truck,11297
Fruits,3191,crops,Large Pickup Truck,4237
Corn,6666,crops,Dropside Truck,7551
Rice,3122,crops,Elf Truck,4304
Leafy Greens,9512,perishable goods,10 wheeler Reefer Truck,10138
Rice,8341,crops,Dropside Truck,9305
Eggs,3887,perishable goods,Medium Refrigerated Truck,5680
Pigs,925,livestock,Small Livestock Truck,1173
Cows,989,livestock,Small Livestock Truck,2456
Frozen Fish,8655,perishable goods,Large Refrigerated Truck,8825
Chickens,11652,livestock,10 wheeler Livestock Truck,12096
Pigs,7764,livestock,10 wheeler Livestock Truck,7932
Meat,1608,perishable goods,Small Refrigerated Truck,1898
Chickens,8849,livestock,10 wheeler Livestock Truck,10418
Eggs,2867,perishable goods,Small Refrigerated Truck,3829
Fresh Vegetables,4099,perishable goods,Medium Refrigerated Truck,6063
Vegetables,107,crops,Tricycle,1505
Pigs,7213,livestock,10 wheeler Livestock Truck,8633
Rice,14999,crops,10 Wheeler Dump Truck,16517
Fruits,8659,crops,Dropside Truck,8828
Milk,7958,perishable goods,Large Refrigerated Truck,9676
Fresh Vegetables,6346,perishable goods,Large Refrigerated Truck,7797
Vegetables,9727,crops,10 Wheeler Cargo Truck,11297
Corn,4814,crops,Dropside Truck,6406
Eggs,3005,perishable goods,Medium Refrigerated Truck,4348
Goats,8658,livestock,10 wheeler Livestock Truck,9313
Eggs,9908,perishable goods,10 wheeler Reefer Truck,10983
Vegetables,5495,crops,Dropside Truck,5619
Fruits,7687,crops,Dropside Truck,8038
Goats,1903,livestock,Medium Livestock Truck,3568
Leafy Greens,6285,perishable goods,Large Refrigerated Truck,6564
Frozen Fish,4780,perishable goods,Medium Refrigerated Truck,5956
Chickens,2048,livestock,Medium Livestock Truck,3754
Vegetables,2400,crops,Elf Truck,3593
Milk,8814,perishable goods,Large Refrigerated Truck,8967
Eggs,8714,perishable goods,Large Refrigerated Truck,10532
Vegetables,13956,crops,10 Wheeler Dump Truck,15685
Pigs,5142,livestock,Large Livestock Truck,5965
Milk,4016,perishable goods,Medium Refrigerated Truck,5526
Cows,9008,livestock,10 wheeler Livestock Truck,10407
Corn,335,crops,Tricycle,1596
Milk,5237,perishable goods,Large Refrigerated Truck,5652
Cows,11953,livestock,10 wheeler Livestock Truck,12465
Corn,2234,crops,Large Pickup Truck,3061
Goats,1322,livestock,Small Livestock Truck,1702
Rice,2014,crops,Large Pickup Truck,3378
Cows,5188,livestock,Large Livestock Truck,5564
Meat,7552,perishable goods,Large Refrigerated Truck,8536
Cows,11840,livestock,10 wheeler Livestock Truck,12923
Vegetables,14879,crops,10 Wheeler Dump Truck,15853
Leafy Greens,3448,perishable goods,Medium Refrigerated Truck,3953
Cows,2469,livestock,Medium Livestock Truck,3775
Meat,4773,perishable goods,Medium Refrigerated Truck,5352
Cows,10540,livestock,10 wheeler Livestock Truck,11225
Pigs,11599,livestock,10 wheeler Livestock Truck,12741
Fruits,10368,crops,10 Wheeler Cargo Truck,10981
Vegetables,605,crops,Small Multicab,1704
Milk,10727,perishable goods,10 wheeler Reefer Truck,12273
Pigs,7704,livestock,10 wheeler Livestock Truck,8816
Meat,9725,perishable goods,10 wheeler Reefer Truck,10229
Frozen Fish,10153,perishable goods,10 wheeler Reefer Truck,12101
Goats,3402,livestock,Large Livestock Truck,3616
Leafy Greens,7158,perishable goods,Large Refrigerated Truck,7282
Vegetables,12600,crops,10 Wheeler Dump Truck,14387
Eggs,1073,perishable goods,Medium Refrigerated Van,2417
Leafy Greens,2331,perishable goods,Small Refrigerated Truck,3423
Leafy Greens,9386,perishable goods,10 wheeler Reefer Truck,11117
Cows,6671,livestock,Large Livestock Truck,7810
Milk,5717,perishable goods,Large Refrigerated Truck,6236
Fresh Vegetables,5048,perishable goods,Large Refrigerated Truck,6720
Meat,5912,perishable goods,Large Refrigerated Truck,7812
Goats,262,livestock,Small Livestock Truck,1999
Chickens,11949,livestock,10 wheeler Livestock Truck,12462
Frozen Fish,6618,perishable goods,Large Refrigerated Truck,8323
Meat,9041,perishable goods,10 wheeler Reefer Truck,10583
Vegetables,10435,crops,10 Wheeler Cargo Truck,11149
Pigs,5283,livestock,Large Livestock Truck,6498
Meat,5714,perishable goods,Large Refrigerated Truck,6835
Meat,3099,perishable goods,Medium Refrigerated Truck,4037
Vegetables,4238,crops,Heavy Duty Pickup Truck,4703
Fruits,14612,crops,10 Wheeler Dump Truck,16078
Meat,1461,perishable goods,Large Refrigerated Van,2486
Corn,8493,crops,Dropside Truck,8593
Cows,4287,livestock,Large Livestock Truck,4874
Milk,10907,perishable goods,10 wheeler Reefer Truck,11764
Fresh Vegetables,3236,perishable goods,Medium Refrigerated Truck,3578
Fresh Vegetables,5084,perishable goods,Large Refrigerated Truck,5522
Pigs,9300,livestock,10 wheeler Livestock Truck,9886
Frozen Fish,4641,perishable goods,Medium Refrigerated Truck,4756
Frozen Fish,5513,perishable goods,Large Refrigerated Truck,7093
Fruits,9984,crops,10 Wheeler Cargo Truck,10673
Eggs,5094,perishable goods,Large Refrigerated Truck,5312
Leafy Greens,1929,perishable goods,Small Refrigerated Truck,3104
Goats,11602,livestock,10 wheeler Livestock Truck,12497
Rice,4100,crops,Heavy Duty Pickup Truck,4496
Pigs,4982,livestock,Large Livestock Truck,5319
Rice,11664,crops,10 Wheeler Cargo Truck,12234
Fruits,14953,crops,10 Wheeler Dump Truck,16075
Milk,3285,perishable goods,Medium Refrigerated Truck,4510
Leafy Greens,6450,perishable goods,Large Refrigerated Truck,7616
Vegetables,10055,crops,10 Wheeler Cargo Truck,12032
Pigs,8664,livestock,10 wheeler Livestock Truck,10096
Eggs,6733,perishable goods,Large Refrigerated Truck,6944
Corn,6837,crops,Dropside Truck,7481
Corn,431,crops,Small Multicab,2332
Eggs,6714,perishable goods,Large Refrigerated Truck,6969
Milk,7631,perishable goods,Large Refrigerated Truck,8821
Chickens,9129,livestock,10 wheeler Livestock Truck,9249
Rice,10304,crops,10 Wheeler Cargo Truck,11656
Cows,7562,livestock,10 wheeler Livestock Truck,8821
Chickens,11913,livestock,10 wheeler Livestock Truck,13566
Rice,6179,crops,Dropside Truck,6704
Pigs,423,livestock,Small Livestock Truck,916
Leafy Greens,9727,perishable goods,10 wheeler Reefer Truck,10739
Pigs,10704,livestock,10 wheeler Livestock Truck,12317
Fruits,5038,crops,Dropside Truck,5957
Meat,6484,perishable goods,Large Refrigerated Truck,6696
Frozen Fish,6476,perishable goods,Large Refrigerated Truck,7547
Leafy Greens,723,perishable goods,Small Refrigerated Van,916
Fresh Vegetables,147,perishable goods,Small Refrigerated Van,571
Eggs,588,perishable goods,Small Refrigerated Van,1772
Milk,3970,perishable goods,Medium Refrigerated Truck,4575
Leafy Greens,5883,perishable goods,Large Refrigerated Truck,6514
Pigs,1154,livestock,Small Livestock Truck,1797
Chickens,9177,livestock,10 wheeler Livestock Truck,10732
Cows,1458,livestock,Small Livestock Truck,3412
Goats,9888,livestock,10 wheeler Livestock Truck,10771
Fresh Vegetables,23,perishable goods,Small Refrigerated Van,1279
Fruits,11584,crops,10 Wheeler Dump Truck,12437
Chickens,9953,livestock,10 wheeler Livestock Truck,11206
Corn,266,crops,Tricycle,1602
Eggs,11785,perishable goods,10 wheeler Reefer Truck,12863
Cows,5927,livestock,Large Livestock Truck,7166
Milk,8684,perishable goods,Large Refrigerated Truck,10071
Fresh Vegetables,9142,perishable goods,10 wheeler Reefer Truck,10088
Leafy Greens,6938,perishable goods,Large Refrigerated Truck,7143
Eggs,5762,perishable goods,Large Refrigerated Truck,7055
Eggs,4161,perishable goods,Medium Refrigerated Truck,5515
Milk,2482,perishable goods,Small Refrigerated Truck,3309
Eggs,6090,perishable goods,Large Refrigerated Truck,7636
Chickens,10444,livestock,10 wheeler Livestock Truck,11562
Fresh Vegetables,11686,perishable goods,10 wheeler Reefer Truck,12157
Goats,11660,livestock,10 wheeler Livestock Truck,12916
Frozen Fish,5934,perishable goods,Large Refrigerated Truck,7072
Frozen Fish,9059,perishable goods,10 wheeler Reefer Truck,9814
Fresh Vegetables,1153,perishable goods,Medium Refrigerated Van,1374
Leafy Greens,977,perishable goods,Medium Refrigerated Van,2750
Fruits,6056,crops,Dropside Truck,6777
Leafy Greens,3601,perishable goods,Medium Refrigerated Truck,3971
Rice,14488,crops,10 Wheeler Dump Truck,16075
Cows,5354,livestock,Large Livestock Truck,6827
Pigs,10853,livestock,10 wheeler Livestock Truck,12249
Leafy Greens,508,perishable goods,Small Refrigerated Van,1816
Frozen Fish,5016,perishable goods,Large Refrigerated Truck,7006
Cows,4380,livestock,Large Livestock Truck,5375
Meat,9510,perishable goods,10 wheeler Reefer Truck,10551
Frozen Fish,10838,perishable goods,10 wheeler Reefer Truck,11369
Milk,2251,perishable goods,Small Refrigerated Truck,2656
Leafy Greens,2735,perishable goods,Small Refrigerated Truck,3188
Milk,2499,perishable goods,Small Refrigerated Truck,3137
Cows,11184,livestock,10 wheeler Livestock Truck,11692
Pigs,11226,livestock,10 wheeler Livestock Truck,11878
Chickens,804,livestock,Small Livestock Truck,2209
Pigs,2136,livestock,Medium Livestock Truck,3010
Milk,7407,perishable goods,Large Refrigerated Truck,7534
Milk,2369,perishable goods,Small Refrigerated Truck,3476
Rice,4213,crops,Heavy Duty Pickup Truck,4612
Leafy Greens,10785,perishable goods,10 wheeler Reefer Truck,11269
Rice,595,crops,Small Delivery Van,2196
Pigs,2607,livestock,Medium Livestock Truck,3792
Fresh Vegetables,3538,perishable goods,Medium Refrigerated Truck,3973
Corn,9458,crops,10 Wheeler Cargo Truck,10273
Pigs,6305,livestock,Large Livestock Truck,7502
Frozen Fish,6002,perishable goods,Large Refrigerated Truck,6164
Goats,6271,livestock,Large Livestock Truck,8105
Goats,10125,livestock,10 wheeler Livestock Truck,10896
Meat,3706,perishable goods,Medium Refrigerated Truck,4105
Meat,8113,perishable goods,Large Refrigerated Truck,8905
Corn,2672,crops,Elf Truck,2838
Pigs,6664,livestock,Large Livestock Truck,7196
Fruits,12480,crops,10 Wheeler Dump Truck,12798
Eggs,8426,perishable goods,Large Refrigerated Truck,9796
Goats,174,livestock,Small Livestock Truck,644
Vegetables,2153,crops,Elf Truck,4071
Frozen Fish,4558,perishable goods,Medium Refrigerated Truck,5057
Fresh Vegetables,3874,perishable goods,Medium Refrigerated Truck,4651
Goats,2840,livestock,Medium Livestock Truck,4124
Pigs,9483,livestock,10 wheeler Livestock Truck,10199
Pigs,3504,livestock,Large Livestock Truck,3683
Goats,9151,livestock,10 wheeler Livestock Truck,9828
Vegetables,12294,crops,10 Wheeler Dump Truck,13759
Frozen Fish,11983,perishable goods,10 wheeler Reefer Truck,13400
Cows,4307,livestock,Large Livestock Truck,5355
Fruits,7227,crops,Dropside Truck,7852
Corn,9272,crops,10 Wheeler Cargo Truck,10252
Fresh Vegetables,1774,perishable goods,Small Refrigerated Truck,2227
Fresh Vegetables,3258,perishable goods,Medium Refrigerated Truck,3595
Corn,12106,crops,10 Wheeler Dump Truck,12363
Rice,7213,crops,Dropside Truck,8056
Eggs,6983,perishable goods,Large Refrigerated Truck,8642
Frozen Fish,3412,perishable goods,Medium Refrigerated Truck,4546
Rice,2866,crops,Elf Truck,3311
Corn,9175,crops,10 Wheeler Cargo Truck,10691
Meat,3528,perishable goods,Medium Refrigerated Truck,4333
Goats,4631,livestock,Large Livestock Truck,6299
Pigs,7487,livestock,10 wheeler Livestock Truck,8289
Vegetables,12116,crops,10 Wheeler Dump Truck,12590
Fruits,12080,crops,10 Wheeler Dump Truck,13084
Meat,3365,perishable goods,Medium Refrigerated Truck,3712
Eggs,6163,perishable goods,Large Refrigerated Truck,6649
Cows,7138,livestock,10 wheeler Livestock Truck,7773
Rice,13300,crops,10 Wheeler Dump Truck,15182
Pigs,2643,livestock,Medium Livestock Truck,3993
Meat,9771,perishable goods,10 wheeler Reefer Truck,11008
Rice,6496,crops,Dropside Truck,7726
Rice,9425,crops,10 Wheeler Cargo Truck,10215
Cows,9846,livestock,10 wheeler Livestock Truck,10804
Fruits,9885,crops,10 Wheeler Cargo Truck,10772
Goats,8609,livestock,10 wheeler Livestock Truck,9413
Milk,10653,perishable goods,10 wheeler Reefer Truck,11245
Eggs,4625,perishable goods,Medium Refrigerated Truck,6615
Leafy Greens,53,perishable goods,Small Refrigerated Van,1448
Corn,3263,crops,Elf Truck,4552
Vegetables,3698,crops,Heavy Duty Pickup Truck,4392
Chickens,6155,livestock,Large Livestock Truck,7167
Vegetables,11251,crops,10 Wheeler Dump Truck,11810
Meat,9694,perishable goods,10 wheeler Reefer Truck,10410
Leafy Greens,10323,perishable goods,10 wheeler Reefer Truck,10929
Vegetables,5489,crops,Dropside Truck,7430
Rice,3279,crops,Elf Truck,3919
Vegetables,3430,crops,Large Pickup Truck,4286
Fresh Vegetables,5552,perishable goods,Large Refrigerated Truck,6042
Rice,13572,crops,10 Wheeler Dump Truck,15165
Chickens,7469,livestock,10 wheeler Livestock Truck,9454
Fruits,11036,crops,10 Wheeler Cargo Truck,11391
Milk,4803,perishable goods,Medium Refrigerated Truck,5949
Fruits,1017,crops,Large Multicab,2553
Vegetables,14252,crops,10 Wheeler Dump Truck,15420
Fresh Vegetables,2382,perishable goods,Small Refrigerated Truck,3137
Corn,5303,crops,Dropside Truck,5997
Leafy Greens,2568,perishable goods,Small Refrigerated Truck,2794
Milk,10881,perishable goods,10 wheeler Reefer Truck,12717
Goats,9542,livestock,10 wheeler Livestock Truck,10468
Frozen Fish,10603,perishable goods,10 wheeler Reefer Truck,12145
Fresh Vegetables,3090,perishable goods,Medium Refrigerated Truck,5054
Chickens,8770,livestock,10 wheeler Livestock Truck,9826
Cows,295,livestock,Small Livestock Truck,1880
Cows,2123,livestock,Medium Livestock Truck,2871
Cows,953,livestock,Small Livestock Truck,1201
Corn,2092,crops,Elf Truck,2396
Vegetables,11103,crops,10 Wheeler Dump Truck,11533
Chickens,6625,livestock,Large Livestock Truck,7866
Meat,9303,perishable goods,10 wheeler Reefer Truck,9574
Fruits,4201,crops,Heavy Duty Pickup Truck,6177
Chickens,2954,livestock,Medium Livestock Truck,4820
Fresh Vegetables,2120,perishable goods,Small Refrigerated Truck,3525
Milk,7448,perishable goods,Large Refrigerated Truck,8805
Fresh Vegetables,536,perishable goods,Small Refrigerated Van,1915
Fruits,4701,crops,Dropside Truck,6087
Cows,5646,livestock,Large Livestock Truck,7160
Corn,5833,crops,Dropside Truck,6956
Rice,8662,crops,10 Wheeler Cargo Truck,9059
Fruits,3896,crops,Heavy Duty Pickup Truck,5529
Pigs,3715,livestock,Large Livestock Truck,4018
Goats,2569,livestock,Medium Livestock Truck,3811
Pigs,6850,livestock,Large Livestock Truck,7903
Eggs,3724,perishable goods,Medium Refrigerated Truck,4946
Pigs,8993,livestock,10 wheeler Livestock Truck,9886
Meat,4299,perishable goods,Medium Refrigerated Truck,5220
Eggs,1633,perishable goods,Small Refrigerated Truck,3584
Goats,5153,livestock,Large Livestock Truck,5552
Milk,11466,perishable goods,10 wheeler Reefer Truck,13096
Meat,8296,perishable goods,Large Refrigerated Truck,8869
Rice,6328,crops,Dropside Truck,6601
Eggs,8234,perishable goods,Large Refrigerated Truck,8396
Vegetables,14208,crops,10 Wheeler Dump Truck,15511
Cows,2806,livestock,Medium Livestock Truck,4339
Eggs,4305,perishable goods,Medium Refrigerated Truck,6002
Milk,9636,perishable goods,10 wheeler Reefer Truck,10227
Fruits,14999,crops,10 Wheeler Dump Truck,15560
Goats,10545,livestock,10 wheeler Livestock Truck,11322
Vegetables,11804,crops,10 Wheeler Cargo Truck,11970
Frozen Fish,6166,perishable goods,Large Refrigerated Truck,7514
Fresh Vegetables,8992,perishable goods,Large Refrigerated Truck,10279
Corn,9263,crops,10 Wheeler Cargo Truck,10531
Frozen Fish,3618,perishable goods,Medium Refrigerated Truck,4558
Cows,9587,livestock,10 wheeler Livestock Truck,11306
Frozen Fish,11212,perishable goods,10 wheeler Reefer Truck,12570
Meat,9108,perishable goods,10 wheeler Reefer Truck,10156
Fruits,12537,crops,10 Wheeler Dump Truck,13126
Fruits,3949,crops,Heavy Duty Pickup Truck,5715
Corn,669,crops,Small Delivery Van,2618
Chickens,4532,livestock,Large Livestock Truck,6313
Rice,3307,crops,Large Pickup Truck,4857
Goats,4100,livestock,Large Livestock Truck,5315
Rice,5880,crops,Dropside Truck,7716
Chickens,11953,livestock,10 wheeler Livestock Truck,12953
Frozen Fish,11972,perishable goods,10 wheeler Reefer Truck,13940
Leafy Greens,9902,perishable goods,10 wheeler Reefer Truck,11299
Fruits,10290,crops,10 Wheeler Cargo Truck,11744
Rice,11353,crops,10 Wheeler Cargo Truck,12925
Chickens,2508,livestock,Medium Livestock Truck,3933
Eggs,1201,perishable goods,Large Refrigerated Van,2897
Meat,1595,perishable goods,Small Refrigerated Truck,2813
Milk,4992,perishable goods,Medium Refrigerated Truck,6836
Milk,9459,perishable goods,10 wheeler Reefer Truck,9605
Chickens,7976,livestock,10 wheeler Livestock Truck,9454
Meat,6503,perishable goods,Large Refrigerated Truck,8316
Eggs,8806,perishable goods,Large Refrigerated Truck,10005
Corn,764,crops,Small Pickup Truck,1480
Milk,5992,perishable goods,Large Refrigerated Truck,6961
Fresh Vegetables,3216,perishable goods,Medium Refrigerated Truck,5133
Corn,5941,crops,Dropside Truck,7799
Frozen Fish,3275,perishable goods,Medium Refrigerated Truck,4012
Vegetables,5137,crops,Dropside Truck,5965
Goats,9961,livestock,10 wheeler Livestock Truck,10509
Frozen Fish,2108,perishable goods,Small Refrigerated Truck,2431
Fruits,6970,crops,Dropside Truck,7883
Cows,6924,livestock,Large Livestock Truck,7126
Frozen Fish,3206,perishable goods,Medium Refrigerated Truck,4760
Pigs,5182,livestock,Large Livestock Truck,5875
Milk,9525,perishable goods,10 wheeler Reefer Truck,9944
Goats,8020,livestock,10 wheeler Livestock Truck,9354
Frozen Fish,9310,perishable goods,10 wheeler Reefer Truck,11303
Pigs,10247,livestock,10 wheeler Livestock Truck,11366
Milk,763,perishable goods,Small Refrigerated Van,1500
Eggs,10725,perishable goods,10 wheeler Reefer Truck,10872
Meat,10928,perishable goods,10 wheeler Reefer Truck,12111
Leafy Greens,10756,perishable goods,10 wheeler Reefer Truck,11903
Cows,5984,livestock,Large Livestock Truck,6815
Corn,8037,crops,Dropside Truck,9747
Rice,10192,crops,10 Wheeler Cargo Truck,10293
Goats,10240,livestock,10 wheeler Livestock Truck,11074
Eggs,2177,perishable goods,Small Refrigerated Truck,3466
Chickens,9267,livestock,10 wheeler Livestock Truck,10034
Meat,2560,perishable goods,Small Refrigerated Truck,3135
Vegetables,4824,crops,Dropside Truck,6088
Frozen Fish,11463,perishable goods,10 wheeler Reefer Truck,11612
Vegetables,3905,crops,Heavy Duty Pickup Truck,5611
Fruits,493,crops,Tricycle,1439
Fruits,1908,crops,Large Pickup Truck,3157
Rice,11192,crops,10 Wheeler Dump Truck,13097
Meat,11825,perishable goods,10 wheeler Reefer Truck,12901
Leafy Greens,5918,perishable goods,Large Refrigerated Truck,6407
Chickens,11454,livestock,10 wheeler Livestock Truck,12960
Frozen Fish,8727,perishable goods,Large Refrigerated Truck,10418
Vegetables,11353,crops,10 Wheeler Dump Truck,12312
Chickens,10715,livestock,10 wheeler Livestock Truck,11223
Meat,8138,perishable goods,Large Refrigerated Truck,9277
Cows,4330,livestock,Large Livestock Truck,6027
Frozen Fish,11516,perishable goods,10 wheeler Reefer Truck,13188
Corn,11289,crops,10 Wheeler Dump Truck,11532
Meat,1980,perishable goods,Small Refrigerated Truck,2446
Corn,239,crops,Tricycle,640
Fruits,8842,crops,10 Wheeler Cargo Truck,10460
Leafy Greens,11881,perishable goods,10 wheeler Reefer Truck,12800
Goats,2068,livestock,Medium Livestock Truck,2495
Eggs,2874,perishable goods,Small Refrigerated Truck,3805
Leafy Greens,9554,perishable goods,10 wheeler Reefer Truck,9960
Meat,5763,perishable goods,Large Refrigerated Truck,7246
Cows,7333,livestock,10 wheeler Livestock Truck,7665
Rice,5816,crops,Dropside Truck,7754
Fruits,11472,crops,10 Wheeler Cargo Truck,12327
Rice,14680,crops,10 Wheeler Dump Truck,15033
Pigs,2491,livestock,Medium Livestock Truck,3544
Cows,2193,livestock,Medium Livestock Truck,2339
Corn,11893,crops,10 Wheeler Cargo Truck,13749
Fresh Vegetables,9586,perishable goods,10 wheeler Reefer Truck,10624
Chickens,5898,livestock,Large Livestock Truck,7847
Rice,5298,crops,Dropside Truck,7037
Frozen Fish,6423,perishable goods,Large Refrigerated Truck,7362
Leafy Greens,615,perishable goods,Small Refrigerated Van,1202
Fresh Vegetables,2289,perishable goods,Small Refrigerated Truck,3326
Goats,8274,livestock,10 wheeler Livestock Truck,10114
Cows,4489,livestock,Large Livestock Truck,5496
Frozen Fish,10516,perishable goods,10 wheeler Reefer Truck,10892
Corn,13950,crops,10 Wheeler Dump Truck,14341
Chickens,11448,livestock,10 wheeler Livestock Truck,11922
Eggs,10339,perishable goods,10 wheeler Reefer Truck,11921
Pigs,9242,livestock,10 wheeler Livestock Truck,10591
Fresh Vegetables,9651,perishable goods,10 wheeler Reefer Truck,10825
Frozen Fish,3918,perishable goods,Medium Refrigerated Truck,4273
Fresh Vegetables,192,perishable goods,Small Refrigerated Van,1570
Pigs,11316,livestock,10 wheeler Livestock Truck,11929
Chickens,5534,livestock,Large Livestock Truck,6268
Milk,8511,perishable goods,Large Refrigerated Truck,9759
Meat,254,perishable goods,Small Refrigerated Van,1179
Meat,2285,perishable goods,Small Refrigerated Truck,3006
Fruits,1874,crops,Large Delivery Van,3448
Pigs,1587,livestock,Medium Livestock Truck,2104
Fruits,5287,crops,Dropside Truck,6529
Vegetables,4639,crops,Dropside Truck,5103
Vegetables,1183,crops,Small Pickup Truck,1560
Pigs,1952,livestock,Medium Livestock Truck,3721
Corn,1767,crops,Large Delivery Van,2925
Leafy Greens,400,perishable goods,Small Refrigerated Van,1769
Pigs,1305,livestock,Small Livestock Truck,1701
Frozen Fish,7437,perishable goods,Large Refrigerated Truck,8012
Chickens,3636,livestock,Large Livestock Truck,4504
Frozen Fish,8544,perishable goods,Large Refrigerated Truck,9458
Corn,12401,crops,10 Wheeler Dump Truck,12592
Corn,7966,crops,Dropside Truck,9910
Corn,5064,crops,Dropside Truck,6109
Frozen Fish,11021,perishable goods,10 wheeler Reefer Truck,11906
Milk,4499,perishable goods,Medium Refrigerated Truck,4895
Vegetables,3885,crops,Heavy Duty Pickup Truck,5555
Frozen Fish,3680,perishable goods,Medium Refrigerated Truck,5009
Goats,6496,livestock,Large Livestock Truck,8095
Eggs,2900,perishable goods,Small Refrigerated Truck,4086
Fresh Vegetables,1169,perishable goods,Medium Refrigerated Van,2969
Pigs,8738,livestock,10 wheeler Livestock Truck,9549
Eggs,3083,perishable goods,Medium Refrigerated Truck,5005
Leafy Greens,11566,perishable goods,10 wheeler Reefer Truck,13533
Fresh Vegetables,1303,perishable goods,Large Refrigerated Van,1542
Goats,5047,livestock,Large Livestock Truck,6098
Goats,10350,livestock,10 wheeler Livestock Truck,10603
Milk,10126,perishable goods,10 wheeler Reefer Truck,11856
Fruits,11842,crops,10 Wheeler Dump Truck,13741
Chickens,5842,livestock,Large Livestock Truck,7149
Chickens,5751,livestock,Large Livestock Truck,6343
Fruits,4283,crops,Heavy Duty Pickup Truck,5652
Cows,2969,livestock,Medium Livestock Truck,3331
Goats,10413,livestock,10 wheeler Livestock Truck,11371
Eggs,9209,perishable goods,10 wheeler Reefer Truck,10437
Goats,2808,livestock,Medium Livestock Truck,3706
Vegetables,14962,crops,10 Wheeler Dump Truck,16117
Goats,3559,livestock,Large Livestock Truck,3736
Fruits,3145,crops,Large Pickup Truck,3720
Fresh Vegetables,6212,perishable goods,Large Refrigerated Truck,7022
