Product Type,Product Weight (kg),Purpose,Vehicle Type,Vehicle Category,maxWeightCapacity
Chickens,645,livestock,Mini Livestock Truck,N1,2308
Corn,3314,crops,Multicab,N1,3460
Frozen Fish,3321,perishable crops,Refrigerated Truck,N2,5928
Frozen Fish,2649,perishable crops,Refrigerated Truck,N2,10668
Corn,244,crops,Tricycle,L1,339
Eggs,4320,perishable crops,Refrigerated Truck,N2,6324
Leafy Greens,3465,perishable crops,Refrigerated Truck,N2,5164
Vegetables,259,crops,Tricycle,L1,262
Chickens,1633,livestock,Mini Livestock Truck,N1,2854
Pigs,9965,livestock,Heavy Livestock Trailer,N3,14798
Vegetables,2318,crops,Elf Truck,N2,6588
Rice,341,crops,Tricycle,L1,868
Fruits,283,crops,Tricycle,L1,948
Meat,8201,perishable crops,Refrigerated Truck,N2,9616
Corn,120,crops,Tricycle,L1,196
Eggs,2197,perishable crops,Refrigerated Van,N1,3095
Cows,1947,livestock,Mini Livestock Truck,N1,1987
Rice,105,crops,Tricycle,L1,105
Vegetables,1179,crops,Multicab,N1,2659
Fruits,199,crops,Tricycle,L1,329
Meat,1408,perishable crops,Refrigerated Van,N1,2341
Fruits,6972,crops,Elf Truck,N2,8151
Eggs,3128,perishable crops,Refrigerated Truck,N2,10284
Vegetables,954,crops,Multicab,N1,3397
Eggs,426,perishable crops,Refrigerated Van,N1,1128
Chickens,875,livestock,Mini Livestock Truck,N1,1893
Meat,2080,perishable crops,Refrigerated Van,N1,2720
Corn,299,crops,Multicab,N1,2441
Goats,1316,livestock,Livestock Truck,N2,9221
Corn,4303,crops,Elf Truck,N2,6330
Pigs,629,livestock,Mini Livestock Truck,N1,1733
Pigs,437,livestock,Mini Livestock Truck,N1,1113
Corn,2241,crops,Elf Truck,N2,8683
Chickens,2234,livestock,Mini Livestock Truck,N1,2304
Eggs,1417,perishable crops,Refrigerated Van,N1,2822
Corn,1102,crops,Multicab,N1,2281
Cows,729,livestock,Mini Livestock Truck,N1,1383
Frozen Fish,682,perishable crops,Refrigerated Van,N1,1631
Vegetables,4402,crops,Elf Truck,N2,6124
Rice,303,crops,Tricycle,L1,312
Fruits,138,crops,Tricycle,L1,867
Rice,3230,crops,Multicab,N1,3367
Pigs,1370,livestock,Heavy Livestock Trailer,N3,12445
Rice,870,crops,Multicab,N1,2121
Goats,10683,livestock,Heavy Livestock Trailer,N3,17387
Cows,9170,livestock,Heavy Livestock Trailer,N3,19167
Rice,156,crops,Elf Truck,N2,5743
Fruits,4789,crops,Elf Truck,N2,6040
Frozen Fish,1059,perishable crops,Refrigerated Van,N1,1497
Leafy Greens,2916,perishable crops,Refrigerated Truck,N2,3907
Corn,7218,crops,Elf Truck,N2,10924
Corn,1889,crops,Multicab,N1,2923
Chickens,644,livestock,Mini Livestock Truck,N1,1021
Cows,1322,livestock,Livestock Truck,N2,9296
Leafy Greens,1985,perishable crops,Refrigerated Truck,N2,9435
Leafy Greens,220,perishable crops,Refrigerated Van,N1,2901
Meat,1936,perishable crops,Refrigerated Van,N1,3311
Corn,285,crops,Multicab,N1,1038
Chickens,1227,livestock,Mini Livestock Truck,N1,2390
Frozen Fish,4273,perishable crops,Refrigerated Truck,N2,4953
Vegetables,223,crops,Multicab,N1,2830
Fruits,2468,crops,Multicab,N1,2892
Leafy Greens,5788,perishable crops,Refrigerated Truck,N2,11902
Corn,218,crops,Tricycle,L1,764
Pigs,9371,livestock,Heavy Livestock Trailer,N3,19134
Pigs,1786,livestock,Mini Livestock Truck,N1,2740
Rice,2804,crops,Multicab,N1,3116
Chickens,10435,livestock,Heavy Livestock Trailer,N3,13298
Goats,744,livestock,Livestock Truck,N2,5383
Cows,2723,livestock,Heavy Livestock Trailer,N3,14961
Corn,723,crops,Multicab,N1,1109
Chickens,2647,livestock,Heavy Livestock Trailer,N3,17412
Fruits,3611,crops,Elf Truck,N2,7070
Eggs,7148,perishable crops,Refrigerated Truck,N2,9303
Fruits,141,crops,Multicab,N1,1854
Corn,2679,crops,10-Wheeler Truck,N3,18606
Frozen Fish,634,perishable crops,Refrigerated Van,N1,3394
Frozen Fish,398,perishable crops,Refrigerated Van,N1,2853
Leafy Greens,5498,perishable crops,Refrigerated Truck,N2,6206
Corn,2128,crops,Multicab,N1,3345
Meat,841,perishable crops,Refrigerated Van,N1,1238
Leafy Greens,7235,perishable crops,Refrigerated Truck,N2,10809
Eggs,1809,perishable crops,Refrigerated Van,N1,3370
Cows,8971,livestock,Heavy Livestock Trailer,N3,19716
Chickens,2450,livestock,Heavy Livestock Trailer,N3,12187
Frozen Fish,354,perishable crops,Refrigerated Van,N1,2215
Cows,9834,livestock,Livestock Truck,N2,11109
Vegetables,121,crops,Tricycle,L1,163
Chickens,3959,livestock,Heavy Livestock Trailer,N3,12388
Vegetables,1172,crops,Elf Truck,N2,4193
Chickens,1412,livestock,Mini Livestock Truck,N1,2669
Chickens,1334,livestock,Mini Livestock Truck,N1,2942
Rice,152,crops,Tricycle,L1,281
Meat,134,perishable crops,Refrigerated Van,N1,1344
Corn,175,crops,Tricycle,L1,527
Leafy Greens,214,perishable crops,Refrigerated Truck,N2,9972
Pigs,3104,livestock,Heavy Livestock Trailer,N3,16850
Goats,8128,livestock,Heavy Livestock Trailer,N3,14708
Fruits,947,crops,Multicab,N1,1955
Goats,3105,livestock,Livestock Truck,N2,6484
Cows,5148,livestock,Livestock Truck,N2,6535
Meat,170,perishable crops,Refrigerated Truck,N2,3596
Pigs,3731,livestock,Livestock Truck,N2,5655
Fruits,6372,crops,Elf Truck,N2,7047
Meat,4765,perishable crops,Refrigerated Truck,N2,5996
Leafy Greens,686,perishable crops,Refrigerated Van,N1,1851
Vegetables,122,crops,Multicab,N1,2090
Pigs,1854,livestock,Mini Livestock Truck,N1,2646
Fruits,11618,crops,10-Wheeler Truck,N3,18149
Goats,1574,livestock,Mini Livestock Truck,N1,1862
Cows,7368,livestock,Heavy Livestock Trailer,N3,19066
Vegetables,3269,crops,Elf Truck,N2,4322
Meat,250,perishable crops,Refrigerated Van,N1,1278
Pigs,6112,livestock,Livestock Truck,N2,8096
Corn,300,crops,Tricycle,L1,321
Chickens,1378,livestock,Mini Livestock Truck,N1,3151
Leafy Greens,2183,perishable crops,Refrigerated Van,N1,2234
Goats,1068,livestock,Mini Livestock Truck,N1,2002
Pigs,2488,livestock,Livestock Truck,N2,10781
Pigs,3949,livestock,Heavy Livestock Trailer,N3,18653
Pigs,11639,livestock,Heavy Livestock Trailer,N3,18593
Goats,4931,livestock,Livestock Truck,N2,7758
Vegetables,492,crops,Elf Truck,N2,4350
Vegetables,4072,crops,Elf Truck,N2,4453
Chickens,1428,livestock,Mini Livestock Truck,N1,1818
Goats,1105,livestock,Mini Livestock Truck,N1,2952
Goats,14885,livestock,Heavy Livestock Trailer,N3,19025
Fruits,1355,crops,Multicab,N1,2098
Chickens,531,livestock,Mini Livestock Truck,N1,3160
Rice,505,crops,Tricycle,L1,626
Fruits,155,crops,Tricycle,L1,397
Meat,228,perishable crops,Refrigerated Van,N1,1027
Leafy Greens,9313,perishable crops,Refrigerated Truck,N2,10306
Fruits,934,crops,Multicab,N1,3061
Vegetables,539,crops,Tricycle,L1,893
Corn,2203,crops,Multicab,N1,3314
Corn,1284,crops,Multicab,N1,2650
Corn,765,crops,Multicab,N1,1306
Frozen Fish,6042,perishable crops,Refrigerated Truck,N2,8902
Corn,424,crops,Tricycle,L1,909
Chickens,13059,livestock,Heavy Livestock Trailer,N3,17704
Fruits,4758,crops,Elf Truck,N2,10342
Frozen Fish,2928,perishable crops,Refrigerated Truck,N2,4037
Rice,8135,crops,10-Wheeler Truck,N3,18620
Meat,134,perishable crops,Refrigerated Van,N1,1179
Rice,3535,crops,Elf Truck,N2,5116
Rice,294,crops,Tricycle,L1,517
Rice,1501,crops,Elf Truck,N2,3550
Pigs,10933,livestock,Heavy Livestock Trailer,N3,19238
Rice,11338,crops,10-Wheeler Truck,N3,18039
Goats,4447,livestock,Livestock Truck,N2,4521
Rice,666,crops,Tricycle,L1,853
Goats,3032,livestock,Heavy Livestock Trailer,N3,15667
Cows,2528,livestock,Mini Livestock Truck,N1,2826
Corn,187,crops,Tricycle,L1,629
Pigs,1672,livestock,Mini Livestock Truck,N1,2184
Goats,607,livestock,Mini Livestock Truck,N1,1120
Fruits,1652,crops,Elf Truck,N2,5630
Vegetables,254,crops,Tricycle,L1,911
Cows,4023,livestock,Livestock Truck,N2,5329
Leafy Greens,424,perishable crops,Refrigerated Van,N1,1868
Leafy Greens,263,perishable crops,Refrigerated Van,N1,1707
Meat,343,perishable crops,Refrigerated Van,N1,1750
Cows,4239,livestock,Livestock Truck,N2,6725
Vegetables,10093,crops,Elf Truck,N2,10602
Cows,4613,livestock,Heavy Livestock Trailer,N3,18647
Fruits,809,crops,Multicab,N1,1171
Cows,4489,livestock,Livestock Truck,N2,6777
Chickens,2487,livestock,Heavy Livestock Trailer,N3,17055
Chickens,8685,livestock,Heavy Livestock Trailer,N3,12949
Leafy Greens,2247,perishable crops,Refrigerated Truck,N2,6660
Eggs,3318,perishable crops,Refrigerated Truck,N2,8332
Corn,517,crops,Tricycle,L1,553
Eggs,5095,perishable crops,Refrigerated Truck,N2,7409
Meat,6573,perishable crops,Refrigerated Truck,N2,6781
Goats,5927,livestock,Livestock Truck,N2,10435
Frozen Fish,2467,perishable crops,Refrigerated Truck,N2,8368
Fruits,1253,crops,Multicab,N1,2867
Eggs,3343,perishable crops,Refrigerated Truck,N2,9103
Corn,651,crops,Tricycle,L1,939
Cows,1218,livestock,Mini Livestock Truck,N1,2676
Rice,234,crops,Tricycle,L1,254
Eggs,1295,perishable crops,Refrigerated Van,N1,2736
Vegetables,350,crops,Tricycle,L1,365
Cows,9168,livestock,Heavy Livestock Trailer,N3,17114
Leafy Greens,3011,perishable crops,Refrigerated Truck,N2,10904
Pigs,16729,livestock,Heavy Livestock Trailer,N3,16768
Frozen Fish,573,perishable crops,Refrigerated Van,N1,1490
Corn,8332,crops,10-Wheeler Truck,N3,13008
Goats,13828,livestock,Heavy Livestock Trailer,N3,13967
Cows,4129,livestock,Livestock Truck,N2,7644
Pigs,1552,livestock,Livestock Truck,N2,4234
Goats,2086,livestock,Mini Livestock Truck,N1,3333
Cows,1665,livestock,Mini Livestock Truck,N1,2394
Meat,1790,perishable crops,Refrigerated Van,N1,3436
Eggs,10550,perishable crops,Refrigerated Truck,N2,10584
Vegetables,421,crops,Tricycle,L1,495
Corn,1617,crops,Multicab,N1,1861
Frozen Fish,1315,perishable crops,Refrigerated Van,N1,2330
Meat,8152,perishable crops,Refrigerated Truck,N2,9759
Cows,1502,livestock,Mini Livestock Truck,N1,2582
Frozen Fish,3459,perishable crops,Refrigerated Truck,N2,4337
Rice,5275,crops,Elf Truck,N2,8448
Leafy Greens,2441,perishable crops,Refrigerated Truck,N2,9844
Fruits,111,crops,Tricycle,L1,256
Fruits,1453,crops,Multicab,N1,1769
Chickens,815,livestock,Mini Livestock Truck,N1,1298
Rice,245,crops,Tricycle,L1,527
Meat,1132,perishable crops,Refrigerated Truck,N2,10677
Meat,527,perishable crops,Refrigerated Van,N1,1161
Chickens,709,livestock,Mini Livestock Truck,N1,1678
Fruits,2130,crops,Elf Truck,N2,9065
Leafy Greens,953,perishable crops,Refrigerated Truck,N2,6343
Corn,422,crops,Tricycle,L1,435
Fruits,2746,crops,Multicab,N1,3290
Vegetables,1015,crops,Elf Truck,N2,3979
Chickens,1094,livestock,Mini Livestock Truck,N1,2187
Pigs,320,livestock,Mini Livestock Truck,N1,1826
Goats,1174,livestock,Livestock Truck,N2,4617
Fruits,306,crops,Tricycle,L1,484
Goats,5305,livestock,Livestock Truck,N2,7070
Leafy Greens,1108,perishable crops,Refrigerated Van,N1,1530
Leafy Greens,526,perishable crops,Refrigerated Van,N1,2169
Chickens,559,livestock,Mini Livestock Truck,N1,1914
Meat,1483,perishable crops,Refrigerated Truck,N2,5242
Cows,11091,livestock,Heavy Livestock Trailer,N3,14254
Eggs,1699,perishable crops,Refrigerated Truck,N2,3612
Cows,188,livestock,Mini Livestock Truck,N1,1992
Pigs,1434,livestock,Heavy Livestock Trailer,N3,19623
Corn,876,crops,Multicab,N1,1644
Meat,1172,perishable crops,Refrigerated Van,N1,3274
Corn,378,crops,Multicab,N1,2485
Cows,645,livestock,Mini Livestock Truck,N1,1964
Leafy Greens,399,perishable crops,Refrigerated Truck,N2,10911
Eggs,1190,perishable crops,Refrigerated Truck,N2,3585
Chickens,1013,livestock,Mini Livestock Truck,N1,1584
Cows,3865,livestock,Heavy Livestock Trailer,N3,13091
Frozen Fish,8000,perishable crops,Refrigerated Truck,N2,10572
Cows,392,livestock,Mini Livestock Truck,N1,1132
Chickens,8738,livestock,Heavy Livestock Trailer,N3,15716
Cows,306,livestock,Livestock Truck,N2,3856
Pigs,5275,livestock,Heavy Livestock Trailer,N3,14741
Goats,5445,livestock,Livestock Truck,N2,11960
Meat,1897,perishable crops,Refrigerated Truck,N2,4020
Meat,1121,perishable crops,Refrigerated Truck,N2,4236
Chickens,11508,livestock,Heavy Livestock Trailer,N3,16839
Eggs,2750,perishable crops,Refrigerated Truck,N2,3848
Frozen Fish,2399,perishable crops,Refrigerated Truck,N2,6988
Meat,302,perishable crops,Refrigerated Truck,N2,9677
Fruits,343,crops,Tricycle,L1,602
Frozen Fish,888,perishable crops,Refrigerated Van,N1,1509
Pigs,17254,livestock,Heavy Livestock Trailer,N3,18465
Frozen Fish,3696,perishable crops,Refrigerated Truck,N2,5152
Eggs,118,perishable crops,Refrigerated Van,N1,1865
Vegetables,1748,crops,Multicab,N1,2024
Vegetables,14708,crops,10-Wheeler Truck,N3,19617
Cows,1008,livestock,Mini Livestock Truck,N1,1916
Leafy Greens,9590,perishable crops,Refrigerated Truck,N2,11884
Frozen Fish,3124,perishable crops,Refrigerated Truck,N2,7919
Chickens,666,livestock,Mini Livestock Truck,N1,2503
Leafy Greens,2276,perishable crops,Refrigerated Van,N1,2690
Chickens,1938,livestock,Mini Livestock Truck,N1,2674
Corn,1523,crops,10-Wheeler Truck,N3,12545
Pigs,4053,livestock,Livestock Truck,N2,6702
Chickens,2425,livestock,Mini Livestock Truck,N1,2641
Meat,720,perishable crops,Refrigerated Van,N1,1119
Eggs,4293,perishable crops,Refrigerated Truck,N2,5598
Goats,10431,livestock,Heavy Livestock Trailer,N3,17649
Fruits,2456,crops,Elf Truck,N2,4644
Leafy Greens,9404,perishable crops,Refrigerated Truck,N2,10947
Goats,670,livestock,Livestock Truck,N2,9242
Vegetables,133,crops,Tricycle,L1,417
Leafy Greens,1923,perishable crops,Refrigerated Van,N1,2638
Chickens,660,livestock,Mini Livestock Truck,N1,1795
Leafy Greens,1911,perishable crops,Refrigerated Van,N1,2380
Meat,1270,perishable crops,Refrigerated Van,N1,2823
Vegetables,980,crops,Multicab,N1,1174
Vegetables,1413,crops,Multicab,N1,1757
Pigs,4113,livestock,Heavy Livestock Trailer,N3,13527
Vegetables,591,crops,Tricycle,L1,805
Vegetables,699,crops,Multicab,N1,1023
Fruits,547,crops,Elf Truck,N2,9282
Vegetables,813,crops,Elf Truck,N2,4055
Rice,239,crops,Tricycle,L1,422
Chickens,3049,livestock,Heavy Livestock Trailer,N3,15566
Leafy Greens,6376,perishable crops,Refrigerated Truck,N2,7095
Frozen Fish,1705,perishable crops,Refrigerated Truck,N2,6875
Rice,12019,crops,10-Wheeler Truck,N3,18700
Chickens,1803,livestock,Heavy Livestock Trailer,N3,19732
Leafy Greens,1092,perishable crops,Refrigerated Van,N1,2523
Meat,506,perishable crops,Refrigerated Van,N1,1200
Rice,2485,crops,Elf Truck,N2,4254
Frozen Fish,2093,perishable crops,Refrigerated Van,N1,2745
Leafy Greens,1463,perishable crops,Refrigerated Van,N1,2428
Goats,1336,livestock,Mini Livestock Truck,N1,2752
Corn,1020,crops,Multicab,N1,1626
Eggs,4662,perishable crops,Refrigerated Truck,N2,5363
Eggs,3414,perishable crops,Refrigerated Truck,N2,5857
Eggs,2972,perishable crops,Refrigerated Van,N1,3080
Meat,1727,perishable crops,Refrigerated Van,N1,2863
Vegetables,1554,crops,Multicab,N1,2217
Goats,1520,livestock,Mini Livestock Truck,N1,2588
Pigs,4846,livestock,Livestock Truck,N2,4912
Meat,5015,perishable crops,Refrigerated Truck,N2,8836
Corn,530,crops,Multicab,N1,1576
Chickens,1243,livestock,Mini Livestock Truck,N1,1853
Goats,241,livestock,Mini Livestock Truck,N1,3311
Frozen Fish,6770,perishable crops,Refrigerated Truck,N2,7763
Rice,4043,crops,Elf Truck,N2,7143
Chickens,12462,livestock,Heavy Livestock Trailer,N3,18589
Leafy Greens,8356,perishable crops,Refrigerated Truck,N2,10496
Pigs,472,livestock,Mini Livestock Truck,N1,1585
Leafy Greens,8854,perishable crops,Refrigerated Truck,N2,10480
Corn,7161,crops,Elf Truck,N2,9515
Leafy Greens,633,perishable crops,Refrigerated Truck,N2,6493
Goats,3958,livestock,Livestock Truck,N2,5597
Cows,15707,livestock,Heavy Livestock Trailer,N3,19381
Fruits,1306,crops,Multicab,N1,1512
Chickens,767,livestock,Mini Livestock Truck,N1,1301
Chickens,2112,livestock,Mini Livestock Truck,N1,2320
Fruits,5375,crops,Elf Truck,N2,8347
Eggs,1894,perishable crops,Refrigerated Van,N1,2071
Rice,1427,crops,Multicab,N1,2834
Eggs,4948,perishable crops,Refrigerated Truck,N2,6541
Vegetables,361,crops,Tricycle,L1,450
Meat,249,perishable crops,Refrigerated Truck,N2,3807
Chickens,927,livestock,Mini Livestock Truck,N1,1956
Frozen Fish,8808,perishable crops,Refrigerated Truck,N2,9033
Rice,577,crops,Multicab,N1,1998
Rice,964,crops,Elf Truck,N2,10717
Leafy Greens,4936,perishable crops,Refrigerated Truck,N2,5251
Vegetables,159,crops,Tricycle,L1,703
Corn,1733,crops,Multicab,N1,2407
Frozen Fish,9459,perishable crops,Refrigerated Truck,N2,11967
Leafy Greens,725,perishable crops,Refrigerated Truck,N2,5781
Cows,4427,livestock,Heavy Livestock Trailer,N3,16495
Meat,641,perishable crops,Refrigerated Van,N1,1998
Corn,680,crops,Multicab,N1,1512
Fruits,3149,crops,Multicab,N1,3484
Leafy Greens,349,perishable crops,Refrigerated Van,N1,1304
Meat,3225,perishable crops,Refrigerated Truck,N2,11007
Chickens,2286,livestock,Mini Livestock Truck,N1,2879
Rice,202,crops,Tricycle,L1,710
Pigs,15756,livestock,Heavy Livestock Trailer,N3,16472
Fruits,9095,crops,Elf Truck,N2,11408
Leafy Greens,2758,perishable crops,Refrigerated Truck,N2,8552
Vegetables,3421,crops,Elf Truck,N2,11412
Goats,811,livestock,Mini Livestock Truck,N1,1227
Goats,840,livestock,Mini Livestock Truck,N1,1246
Eggs,1318,perishable crops,Refrigerated Van,N1,1707
Leafy Greens,10603,perishable crops,Refrigerated Truck,N2,11213
Rice,1813,crops,Multicab,N1,2458
Corn,3914,crops,10-Wheeler Truck,N3,14083
Frozen Fish,2157,perishable crops,Refrigerated Truck,N2,5654
Cows,1910,livestock,Mini Livestock Truck,N1,2110
Rice,2674,crops,Multicab,N1,3153
Chickens,4106,livestock,Heavy Livestock Trailer,N3,18214
Frozen Fish,924,perishable crops,Refrigerated Van,N1,1539
Chickens,1422,livestock,Mini Livestock Truck,N1,1424
Meat,1812,perishable crops,Refrigerated Van,N1,3260
Corn,1576,crops,Multicab,N1,2739
Chickens,5547,livestock,Heavy Livestock Trailer,N3,12848
Frozen Fish,323,perishable crops,Refrigerated Van,N1,2260
Fruits,1067,crops,Multicab,N1,2703
Chickens,12711,livestock,Heavy Livestock Trailer,N3,15831
Pigs,1798,livestock,Livestock Truck,N2,10834
Cows,11702,livestock,Heavy Livestock Trailer,N3,15002
Leafy Greens,8821,perishable crops,Refrigerated Truck,N2,10863
Cows,1447,livestock,Mini Livestock Truck,N1,2638
Cows,3015,livestock,Livestock Truck,N2,5982
Cows,3961,livestock,Heavy Livestock Trailer,N3,16936
Goats,4778,livestock,Heavy Livestock Trailer,N3,16964
Rice,885,crops,Multicab,N1,3023
Corn,1998,crops,Elf Truck,N2,3589
Goats,2764,livestock,Livestock Truck,N2,9326
Rice,324,crops,Tricycle,L1,473
Chickens,309,livestock,Mini Livestock Truck,N1,1764
Meat,715,perishable crops,Refrigerated Van,N1,1771
Cows,11611,livestock,Heavy Livestock Trailer,N3,13940
Cows,4911,livestock,Heavy Livestock Trailer,N3,17468
Eggs,1508,perishable crops,Refrigerated Van,N1,1651
Corn,4317,crops,Elf Truck,N2,9139
Chickens,9047,livestock,Heavy Livestock Trailer,N3,15038
Rice,195,crops,Tricycle,L1,943
Corn,4800,crops,Elf Truck,N2,7055
Eggs,969,perishable crops,Refrigerated Truck,N2,4856
Corn,3145,crops,Elf Truck,N2,6773
Chickens,223,livestock,Mini Livestock Truck,N1,1101
Vegetables,6979,crops,Elf Truck,N2,11621
Eggs,669,perishable crops,Refrigerated Van,N1,1202
Frozen Fish,1856,perishable crops,Refrigerated Van,N1,2164
Goats,17536,livestock,Heavy Livestock Trailer,N3,18475
Eggs,132,perishable crops,Refrigerated Van,N1,1462
Eggs,1500,perishable crops,Refrigerated Van,N1,2054
Corn,596,crops,Multicab,N1,2773
Leafy Greens,696,perishable crops,Refrigerated Van,N1,1130
Cows,1977,livestock,Mini Livestock Truck,N1,2335
Fruits,914,crops,Multicab,N1,1277
Meat,1150,perishable crops,Refrigerated Van,N1,2010
Eggs,4668,perishable crops,Refrigerated Truck,N2,9970
Goats,14117,livestock,Heavy Livestock Trailer,N3,17750
Corn,1429,crops,Multicab,N1,2618
Corn,1996,crops,Multicab,N1,2344
Leafy Greens,3164,perishable crops,Refrigerated Truck,N2,5519
Meat,467,perishable crops,Refrigerated Van,N1,2775
Corn,1005,crops,Elf Truck,N2,9531
Rice,3408,crops,Elf Truck,N2,4833
Frozen Fish,3956,perishable crops,Refrigerated Truck,N2,5389
Rice,446,crops,Tricycle,L1,540
Frozen Fish,6953,perishable crops,Refrigerated Truck,N2,7229
Cows,5756,livestock,Livestock Truck,N2,5990
Meat,2710,perishable crops,Refrigerated Van,N1,3254
Cows,994,livestock,Mini Livestock Truck,N1,3314
Fruits,154,crops,Multicab,N1,1108
Cows,1194,livestock,Mini Livestock Truck,N1,1809
Eggs,1810,perishable crops,Refrigerated Van,N1,1922
Corn,2962,crops,Multicab,N1,3469
Frozen Fish,4396,perishable crops,Refrigerated Truck,N2,4409
Eggs,7157,perishable crops,Refrigerated Truck,N2,11349
Vegetables,451,crops,Tricycle,L1,830
Cows,1181,livestock,Mini Livestock Truck,N1,2080
Leafy Greens,516,perishable crops,Refrigerated Truck,N2,5659
Leafy Greens,5809,perishable crops,Refrigerated Truck,N2,10985
Goats,3570,livestock,Livestock Truck,N2,3730
Corn,1452,crops,Multicab,N1,2285
Eggs,1629,perishable crops,Refrigerated Van,N1,3108
Goats,5666,livestock,Heavy Livestock Trailer,N3,14938
Pigs,1669,livestock,Livestock Truck,N2,4808
Meat,2350,perishable crops,Refrigerated Truck,N2,11510
Chickens,151,livestock,Mini Livestock Truck,N1,2341
Cows,7429,livestock,Heavy Livestock Trailer,N3,12112
Fruits,8682,crops,10-Wheeler Truck,N3,15031
Goats,842,livestock,Livestock Truck,N2,5141
Meat,1228,perishable crops,Refrigerated Van,N1,2225
Meat,6009,perishable crops,Refrigerated Truck,N2,7905
Corn,1191,crops,Elf Truck,N2,6559
Chickens,835,livestock,Mini Livestock Truck,N1,2378
Vegetables,6449,crops,Elf Truck,N2,8459
Chickens,13923,livestock,Heavy Livestock Trailer,N3,15416
Goats,159,livestock,Mini Livestock Truck,N1,1168
Pigs,1247,livestock,Heavy Livestock Trailer,N3,15333
Leafy Greens,5277,perishable crops,Refrigerated Truck,N2,7891
Meat,5290,perishable crops,Refrigerated Truck,N2,7094
Goats,6516,livestock,Heavy Livestock Trailer,N3,16613
Meat,692,perishable crops,Refrigerated Van,N1,2826
Corn,199,crops,Multicab,N1,3168
Corn,808,crops,Multicab,N1,3014
Chickens,15597,livestock,Heavy Livestock Trailer,N3,15998
Frozen Fish,2906,perishable crops,Refrigerated Truck,N2,5962
Frozen Fish,2048,perishable crops,Refrigerated Truck,N2,8006
Cows,13995,livestock,Heavy Livestock Trailer,N3,19297
Rice,294,crops,Tricycle,L1,611
Pigs,6978,livestock,Heavy Livestock Trailer,N3,17209
Chickens,2872,livestock,Mini Livestock Truck,N1,2988
Goats,906,livestock,Mini Livestock Truck,N1,1351
Leafy Greens,3630,perishable crops,Refrigerated Truck,N2,4603
Pigs,9424,livestock,Heavy Livestock Trailer,N3,14414
Meat,1303,perishable crops,Refrigerated Van,N1,3127
Pigs,1254,livestock,Livestock Truck,N2,3580
Leafy Greens,1044,perishable crops,Refrigerated Truck,N2,3962
Pigs,1959,livestock,Mini Livestock Truck,N1,2755
Rice,1078,crops,Multicab,N1,1422
Rice,1372,crops,Multicab,N1,2484
Frozen Fish,3111,perishable crops,Refrigerated Truck,N2,11031
Meat,2975,perishable crops,Refrigerated Truck,N2,4383
Rice,3084,crops,Multicab,N1,3351
Goats,2793,livestock,Livestock Truck,N2,5952
Eggs,2899,perishable crops,Refrigerated Truck,N2,10029
Cows,3091,livestock,Mini Livestock Truck,N1,3150
Goats,2679,livestock,Livestock Truck,N2,3804
Vegetables,319,crops,Elf Truck,N2,3822
Vegetables,4380,crops,Elf Truck,N2,4623
Fruits,2265,crops,Elf Truck,N2,4333
Leafy Greens,3200,perishable crops,Refrigerated Truck,N2,3955
Corn,374,crops,Tricycle,L1,483
Pigs,2062,livestock,Heavy Livestock Trailer,N3,17263
Meat,8831,perishable crops,Refrigerated Truck,N2,11128
Corn,5106,crops,Elf Truck,N2,7522
Meat,2386,perishable crops,Refrigerated Truck,N2,8242
Goats,9517,livestock,Livestock Truck,N2,10549
Eggs,760,perishable crops,Refrigerated Van,N1,1062
Eggs,8962,perishable crops,Refrigerated Truck,N2,11424
Chickens,991,livestock,Mini Livestock Truck,N1,1047
Frozen Fish,1114,perishable crops,Refrigerated Van,N1,1169
Corn,1462,crops,Multicab,N1,2790
Fruits,392,crops,Tricycle,L1,452
Fruits,1434,crops,Multicab,N1,3218
Rice,3405,crops,Elf Truck,N2,3819
Pigs,1694,livestock,Heavy Livestock Trailer,N3,13636
Fruits,436,crops,Tricycle,L1,768
Chickens,1046,livestock,Mini Livestock Truck,N1,1122
Rice,1975,crops,Multicab,N1,2366
Fruits,114,crops,10-Wheeler Truck,N3,16431
Rice,14589,crops,10-Wheeler Truck,N3,16793
Meat,4059,perishable crops,Refrigerated Truck,N2,7138
Fruits,2282,crops,Multicab,N1,3315
Leafy Greens,505,perishable crops,Refrigerated Van,N1,1004
Pigs,1413,livestock,Mini Livestock Truck,N1,2164
Rice,6111,crops,10-Wheeler Truck,N3,17756
Rice,7087,crops,Elf Truck,N2,7708
Pigs,1084,livestock,Livestock Truck,N2,9076
Meat,3851,perishable crops,Refrigerated Truck,N2,10845
Meat,1536,perishable crops,Refrigerated Van,N1,1631
Goats,7337,livestock,Heavy Livestock Trailer,N3,13983
Fruits,812,crops,Multicab,N1,3004
Goats,6892,livestock,Heavy Livestock Trailer,N3,17074
Cows,2259,livestock,Livestock Truck,N2,4093
Fruits,410,crops,Multicab,N1,1355
Fruits,5107,crops,Elf Truck,N2,11626
Chickens,13817,livestock,Heavy Livestock Trailer,N3,14257
Pigs,6657,livestock,Livestock Truck,N2,7498
Corn,8099,crops,Elf Truck,N2,8270
Goats,489,livestock,Mini Livestock Truck,N1,3147
Goats,906,livestock,Mini Livestock Truck,N1,2488
Eggs,1333,perishable crops,Refrigerated Van,N1,1622
Chickens,2291,livestock,Mini Livestock Truck,N1,2577
Meat,5339,perishable crops,Refrigerated Truck,N2,11425
