Product Type,Product Weight (kg),Purpose,Vehicle Type
Vegetables,1230,crops,Large Delivery Van
Leafy Greens,91,perishable goods,Small Refrigerated Van
Fresh Vegetables,2981,perishable goods,Small Refrigerated Truck
Rice,1460,crops,Elf Truck
Meat,9181,perishable goods,10 wheeler Reefer Truck
Vegetables,7560,crops,Dropside Truck
Chickens,8171,livestock,10 wheeler Livestock Truck
Meat,8391,perishable goods,Large Refrigerated Truck
Meat,4041,perishable goods,Medium Refrigerated Truck
Corn,160,crops,Tricycle
Vegetables,12850,crops,10 Wheeler Dump Truck
Corn,550,crops,Small Multicab
Meat,6151,perishable goods,Large Refrigerated Truck
Vegetables,6570,crops,Dropside Truck
Corn,13900,crops,10 Wheeler Dump Truck
Corn,9570,crops,10 Wheeler Cargo Truck
Corn,11100,crops,10 Wheeler Dump Truck
Rice,10480,crops,10 Wheeler Cargo Truck
Meat,3391,perishable goods,Medium Refrigerated Truck
Cows,5381,livestock,Large Livestock Truck
Goats,3641,livestock,Large Livestock Truck
Goats,10401,livestock,10 wheeler Livestock Truck
Rice,6980,crops,Dropside Truck
Corn,6290,crops,Dropside Truck
Pigs,1781,livestock,Medium Livestock Truck
Eggs,3981,perishable goods,Medium Refrigerated Truck
Corn,10270,crops,10 Wheeler Cargo Truck
Cows,5681,livestock,Large Livestock Truck
Fruits,4360,crops,Heavy Duty Pickup Truck
Fruits,13650,crops,10 Wheeler Dump Truck
Frozen Fish,1011,perishable goods,Medium Refrigerated Van
Fresh Vegetables,1271,perishable goods,Large Refrigerated Van
Frozen Fish,4031,perishable goods,Medium Refrigerated Truck
Vegetables,2600,crops,Large Pickup Truck
Corn,5760,crops,Dropside Truck
Frozen Fish,3861,perishable goods,Medium Refrigerated Truck
Cows,10081,livestock,10 wheeler Livestock Truck
Frozen Fish,5491,perishable goods,Large Refrigerated Truck
Rice,11740,crops,10 Wheeler Dump Truck
Corn,1100,crops,Small Pickup Truck
Fruits,1150,crops,Large Delivery Van
Meat,6931,perishable goods,Large Refrigerated Truck
Corn,1600,crops,Elf Truck
Corn,1070,crops,Large Multicab
Goats,5861,livestock,Large Livestock Truck
Chickens,2501,livestock,Medium Livestock Truck
Rice,2860,crops,Elf Truck
Frozen Fish,6561,perishable goods,Large Refrigerated Truck
Fruits,1290,crops,Large Delivery Van
Fruits,150,crops,Tricycle
Corn,1490,crops,Medium Pickup Truck
Corn,11160,crops,10 Wheeler Cargo Truck
Rice,1820,crops,Large Delivery Van
Leafy Greens,891,perishable goods,Medium Refrigerated Van
Fruits,1890,crops,Elf Truck
Corn,8940,crops,Dropside Truck
Pigs,7301,livestock,10 wheeler Livestock Truck
Goats,1471,livestock,Small Livestock Truck
Milk,3181,perishable goods,Medium Refrigerated Truck
Fruits,5610,crops,Dropside Truck
Vegetables,12260,crops,10 Wheeler Dump Truck
Cows,8021,livestock,10 wheeler Livestock Truck
Frozen Fish,8211,perishable goods,Large Refrigerated Truck
Fruits,2870,crops,Elf Truck
Cows,2631,livestock,Medium Livestock Truck
Fruits,13170,crops,10 Wheeler Dump Truck
Vegetables,330,crops,Tricycle
Rice,570,crops,Small Delivery Van
Goats,1651,livestock,Medium Livestock Truck
Chickens,2561,livestock,Medium Livestock Truck
Fruits,8140,crops,10 Wheeler Cargo Truck
Leafy Greens,11601,perishable goods,10 wheeler Reefer Truck
Cows,2911,livestock,Medium Livestock Truck
Frozen Fish,181,perishable goods,Small Refrigerated Van
Cows,7951,livestock,10 wheeler Livestock Truck
Pigs,11011,livestock,10 wheeler Livestock Truck
Rice,1840,crops,Large Delivery Van
Fresh Vegetables,6531,perishable goods,Large Refrigerated Truck
Chickens,3481,livestock,Large Livestock Truck
Eggs,471,perishable goods,Small Refrigerated Van
Milk,11951,perishable goods,10 wheeler Reefer Truck
Vegetables,13570,crops,10 Wheeler Dump Truck
Milk,7911,perishable goods,Large Refrigerated Truck
Fresh Vegetables,911,perishable goods,Medium Refrigerated Van
Cows,3601,livestock,Large Livestock Truck
Corn,11900,crops,10 Wheeler Cargo Truck
Corn,8230,crops,Dropside Truck
Eggs,781,perishable goods,Small Refrigerated Van
Milk,10041,perishable goods,10 wheeler Reefer Truck
Vegetables,8880,crops,Dropside Truck
Eggs,9141,perishable goods,10 wheeler Reefer Truck
Corn,1930,crops,Large Pickup Truck
Corn,910,crops,Small Multicab
Chickens,6541,livestock,Large Livestock Truck
Cows,11021,livestock,10 wheeler Livestock Truck
Chickens,6121,livestock,Large Livestock Truck
Corn,14740,crops,10 Wheeler Dump Truck
Rice,11590,crops,10 Wheeler Cargo Truck
Cows,921,livestock,Small Livestock Truck
Fresh Vegetables,7141,perishable goods,Large Refrigerated Truck
Meat,1701,perishable goods,Small Refrigerated Truck
Cows,11491,livestock,10 wheeler Livestock Truck
Milk,11371,perishable goods,10 wheeler Reefer Truck
Cows,2711,livestock,Medium Livestock Truck
Milk,1961,perishable goods,Small Refrigerated Truck
Corn,2390,crops,Elf Truck
Pigs,5991,livestock,Large Livestock Truck
Pigs,7781,livestock,10 wheeler Livestock Truck
Rice,900,crops,Large Multicab
Meat,8401,perishable goods,Large Refrigerated Truck
Eggs,1531,perishable goods,Small Refrigerated Truck
Leafy Greens,5851,perishable goods,Large Refrigerated Truck
Pigs,881,livestock,Small Livestock Truck
Eggs,841,perishable goods,Medium Refrigerated Van
Vegetables,9720,crops,10 Wheeler Cargo Truck
Frozen Fish,7991,perishable goods,Large Refrigerated Truck
Cows,691,livestock,Small Livestock Truck
Meat,371,perishable goods,Small Refrigerated Van
Meat,6551,perishable goods,Large Refrigerated Truck
Milk,7401,perishable goods,Large Refrigerated Truck
Eggs,10971,perishable goods,10 wheeler Reefer Truck
Milk,11121,perishable goods,10 wheeler Reefer Truck
Fresh Vegetables,8331,perishable goods,Large Refrigerated Truck
Fresh Vegetables,6071,perishable goods,Large Refrigerated Truck
Vegetables,8610,crops,10 Wheeler Cargo Truck
Pigs,3781,livestock,Large Livestock Truck
Rice,8510,crops,10 Wheeler Cargo Truck
Fresh Vegetables,2651,perishable goods,Small Refrigerated Truck
Fruits,2470,crops,Elf Truck
Meat,10101,perishable goods,10 wheeler Reefer Truck
Vegetables,8080,crops,10 Wheeler Cargo Truck
Pigs,261,livestock,Small Livestock Truck
Meat,1261,perishable goods,Large Refrigerated Van
Leafy Greens,6361,perishable goods,Large Refrigerated Truck
Frozen Fish,1721,perishable goods,Small Refrigerated Truck
Leafy Greens,6391,perishable goods,Large Refrigerated Truck
Chickens,10471,livestock,10 wheeler Livestock Truck
Vegetables,14500,crops,10 Wheeler Dump Truck
Goats,4071,livestock,Large Livestock Truck
Vegetables,2270,crops,Large Pickup Truck
Corn,9580,crops,10 Wheeler Cargo Truck
Goats,11481,livestock,10 wheeler Livestock Truck
Frozen Fish,11041,perishable goods,10 wheeler Reefer Truck
Chickens,6951,livestock,Large Livestock Truck
Meat,5951,perishable goods,Large Refrigerated Truck
Goats,2421,livestock,Medium Livestock Truck
Rice,7140,crops,Dropside Truck
Pigs,3271,livestock,Large Livestock Truck
Corn,13930,crops,10 Wheeler Dump Truck
Frozen Fish,10411,perishable goods,10 wheeler Reefer Truck
Meat,10481,perishable goods,10 wheeler Reefer Truck
Vegetables,5670,crops,Dropside Truck
Meat,8441,perishable goods,Large Refrigerated Truck
Fruits,12780,crops,10 Wheeler Dump Truck
Fruits,1020,crops,Large Multicab
Goats,7551,livestock,10 wheeler Livestock Truck
Corn,810,crops,Small Multicab
Cows,2111,livestock,Medium Livestock Truck
Rice,2790,crops,Elf Truck
Rice,3830,crops,Heavy Duty Pickup Truck
Meat,3231,perishable goods,Medium Refrigerated Truck
Pigs,8971,livestock,10 wheeler Livestock Truck
Eggs,2131,perishable goods,Small Refrigerated Truck
Goats,3971,livestock,Large Livestock Truck
Leafy Greens,7521,perishable goods,Large Refrigerated Truck
Vegetables,2080,crops,Elf Truck
Vegetables,10030,crops,10 Wheeler Cargo Truck
Fresh Vegetables,9171,perishable goods,10 wheeler Reefer Truck
Vegetables,11830,crops,10 Wheeler Cargo Truck
Corn,2520,crops,Elf Truck
Rice,2740,crops,Elf Truck
Milk,8821,perishable goods,Large Refrigerated Truck
Chickens,1981,livestock,Medium Livestock Truck
Milk,6771,perishable goods,Large Refrigerated Truck
Fruits,850,crops,Small Pickup Truck
Corn,1660,crops,Large Delivery Van
Corn,11140,crops,10 Wheeler Cargo Truck
Milk,2351,perishable goods,Small Refrigerated Truck
Pigs,3751,livestock,Large Livestock Truck
Chickens,2581,livestock,Medium Livestock Truck
Vegetables,1020,crops,Small Pickup Truck
Pigs,9611,livestock,10 wheeler Livestock Truck
Rice,1370,crops,Medium Pickup Truck
Leafy Greens,11621,perishable goods,10 wheeler Reefer Truck
Frozen Fish,9541,perishable goods,10 wheeler Reefer Truck
Cows,6681,livestock,Large Livestock Truck
Fruits,5570,crops,Dropside Truck
Eggs,4571,perishable goods,Medium Refrigerated Truck
Corn,1240,crops,Medium Pickup Truck
Rice,3900,crops,Heavy Duty Pickup Truck
Leafy Greens,10011,perishable goods,10 wheeler Reefer Truck
Fruits,940,crops,Small Delivery Van
Vegetables,9650,crops,10 Wheeler Cargo Truck
Fruits,5940,crops,Dropside Truck
Goats,9101,livestock,10 wheeler Livestock Truck
Vegetables,4430,crops,Heavy Duty Pickup Truck
Cows,5851,livestock,Large Livestock Truck
Cows,8331,livestock,10 wheeler Livestock Truck
Fruits,6360,crops,Dropside Truck
Pigs,9451,livestock,10 wheeler Livestock Truck
Corn,8040,crops,Dropside Truck
Cows,5601,livestock,Large Livestock Truck
Fruits,9690,crops,10 Wheeler Cargo Truck
Rice,590,crops,Small Multicab
Rice,10110,crops,10 Wheeler Cargo Truck
Vegetables,10430,crops,10 Wheeler Cargo Truck
Corn,980,crops,Large Multicab
Rice,2820,crops,Elf Truck
Corn,980,crops,Small Delivery Van
Vegetables,1010,crops,Small Delivery Van
Vegetables,12130,crops,10 Wheeler Dump Truck
Pigs,7111,livestock,10 wheeler Livestock Truck
Pigs,4601,livestock,Large Livestock Truck
Corn,14220,crops,10 Wheeler Dump Truck
Fruits,10610,crops,10 Wheeler Cargo Truck
Rice,6110,crops,Dropside Truck
Corn,11350,crops,10 Wheeler Dump Truck
Fresh Vegetables,8931,perishable goods,Large Refrigerated Truck
Pigs,5571,livestock,Large Livestock Truck
Corn,1730,crops,Elf Truck
Corn,4830,crops,Dropside Truck
Meat,8231,perishable goods,Large Refrigerated Truck
Corn,5420,crops,Dropside Truck
Corn,5850,crops,Dropside Truck
Rice,6940,crops,Dropside Truck
Vegetables,71,crops,Motorcycle with Box
Vegetables,1340,crops,Medium Pickup Truck
Vegetables,6640,crops,Dropside Truck
Fruits,8550,crops,Dropside Truck
Vegetables,3070,crops,Elf Truck
Corn,3500,crops,Large Pickup Truck
Goats,7571,livestock,10 wheeler Livestock Truck
Eggs,8131,perishable goods,Large Refrigerated Truck
Chickens,5941,livestock,Large Livestock Truck
Rice,7980,crops,Dropside Truck
Corn,8520,crops,Dropside Truck
Vegetables,1920,crops,Elf Truck
Leafy Greens,6061,perishable goods,Large Refrigerated Truck
Leafy Greens,9931,perishable goods,10 wheeler Reefer Truck
Rice,13340,crops,10 Wheeler Dump Truck
Cows,10531,livestock,10 wheeler Livestock Truck
Vegetables,14880,crops,10 Wheeler Dump Truck
Pigs,10001,livestock,10 wheeler Livestock Truck
Fruits,11030,crops,10 Wheeler Dump Truck
Corn,3990,crops,Heavy Duty Pickup Truck
Fruits,2050,crops,Elf Truck
Pigs,2131,livestock,Medium Livestock Truck
Vegetables,1450,crops,Medium Pickup Truck
Fruits,6280,crops,Dropside Truck
Rice,2650,crops,Elf Truck
Rice,8640,crops,Dropside Truck
Cows,391,livestock,Small Livestock Truck
Chickens,6911,livestock,Large Livestock Truck
Rice,2350,crops,Elf Truck
Rice,10300,crops,10 Wheeler Cargo Truck
Rice,10790,crops,10 Wheeler Cargo Truck
Fruits,8100,crops,10 Wheeler Cargo Truck
Rice,6340,crops,Dropside Truck
Cows,851,livestock,Small Livestock Truck
Milk,3421,perishable goods,Medium Refrigerated Truck
Vegetables,8290,crops,Dropside Truck
Pigs,7181,livestock,10 wheeler Livestock Truck
Rice,3200,crops,Large Pickup Truck
Meat,161,perishable goods,Small Refrigerated Van
Chickens,8351,livestock,10 wheeler Livestock Truck
Fruits,13040,crops,10 Wheeler Dump Truck
Vegetables,2200,crops,Large Pickup Truck
Milk,7391,perishable goods,Large Refrigerated Truck
Corn,4130,crops,Heavy Duty Pickup Truck
Fruits,2210,crops,Large Pickup Truck
Eggs,3011,perishable goods,Medium Refrigerated Truck
Fresh Vegetables,861,perishable goods,Medium Refrigerated Van
Chickens,731,livestock,Small Livestock Truck
Corn,11570,crops,10 Wheeler Dump Truck
Vegetables,4150,crops,Heavy Duty Pickup Truck
Vegetables,2580,crops,Large Pickup Truck
Vegetables,13590,crops,10 Wheeler Dump Truck
Cows,10121,livestock,10 wheeler Livestock Truck
Eggs,8271,perishable goods,Large Refrigerated Truck
Rice,9430,crops,10 Wheeler Cargo Truck
Milk,9311,perishable goods,10 wheeler Reefer Truck
Milk,1681,perishable goods,Small Refrigerated Truck
Corn,1760,crops,Large Delivery Van
Corn,2010,crops,Elf Truck
Rice,10920,crops,10 Wheeler Cargo Truck
Frozen Fish,7291,perishable goods,Large Refrigerated Truck
Frozen Fish,4101,perishable goods,Medium Refrigerated Truck
Rice,920,crops,Small Multicab
Goats,11251,livestock,10 wheeler Livestock Truck
Fresh Vegetables,9501,perishable goods,10 wheeler Reefer Truck
Chickens,5211,livestock,Large Livestock Truck
Leafy Greens,7771,perishable goods,Large Refrigerated Truck
Goats,8401,livestock,10 wheeler Livestock Truck
Goats,5661,livestock,Large Livestock Truck
Milk,7231,perishable goods,Large Refrigerated Truck
Eggs,4661,perishable goods,Medium Refrigerated Truck
Rice,11620,crops,10 Wheeler Dump Truck
Cows,1021,livestock,Small Livestock Truck
Pigs,8391,livestock,10 wheeler Livestock Truck
Rice,4200,crops,Heavy Duty Pickup Truck
Chickens,6211,livestock,Large Livestock Truck
Rice,4890,crops,Dropside Truck
Corn,3470,crops,Elf Truck
Pigs,10351,livestock,10 wheeler Livestock Truck
Pigs,9791,livestock,10 wheeler Livestock Truck
Rice,11380,crops,10 Wheeler Cargo Truck
Fresh Vegetables,2211,perishable goods,Small Refrigerated Truck
Cows,891,livestock,Small Livestock Truck
Vegetables,11870,crops,10 Wheeler Cargo Truck
Fruits,11550,crops,10 Wheeler Cargo Truck
Rice,6610,crops,Dropside Truck
Rice,12490,crops,10 Wheeler Dump Truck
Leafy Greens,1491,perishable goods,Large Refrigerated Van
Goats,10761,livestock,10 wheeler Livestock Truck
Corn,13220,crops,10 Wheeler Dump Truck
Rice,14780,crops,10 Wheeler Dump Truck
Eggs,8781,perishable goods,Large Refrigerated Truck
Fruits,4260,crops,Heavy Duty Pickup Truck
Pigs,3911,livestock,Large Livestock Truck
Pigs,6621,livestock,Large Livestock Truck
Rice,13620,crops,10 Wheeler Dump Truck
Frozen Fish,4461,perishable goods,Medium Refrigerated Truck
Chickens,8321,livestock,10 wheeler Livestock Truck
Eggs,9761,perishable goods,10 wheeler Reefer Truck
Corn,3380,crops,Large Pickup Truck
Goats,2031,livestock,Medium Livestock Truck
Vegetables,8860,crops,10 Wheeler Cargo Truck
Eggs,7071,perishable goods,Large Refrigerated Truck
Goats,1581,livestock,Medium Livestock Truck
Goats,2931,livestock,Medium Livestock Truck
Chickens,11811,livestock,10 wheeler Livestock Truck
Leafy Greens,4231,perishable goods,Medium Refrigerated Truck
Rice,1910,crops,Large Pickup Truck
Chickens,341,livestock,Small Livestock Truck
Vegetables,1270,crops,Large Multicab
Milk,7791,perishable goods,Large Refrigerated Truck
Rice,3520,crops,Heavy Duty Pickup Truck
Fresh Vegetables,8541,perishable goods,Large Refrigerated Truck
Leafy Greens,2901,perishable goods,Small Refrigerated Truck
Fruits,2340,crops,Elf Truck
Leafy Greens,671,perishable goods,Small Refrigerated Van
Vegetables,12140,crops,10 Wheeler Dump Truck
Pigs,7021,livestock,10 wheeler Livestock Truck
Chickens,2781,livestock,Medium Livestock Truck
Pigs,9831,livestock,10 wheeler Livestock Truck
Fresh Vegetables,1321,perishable goods,Large Refrigerated Van
Eggs,6731,perishable goods,Large Refrigerated Truck
Milk,6581,perishable goods,Large Refrigerated Truck
Fruits,11540,crops,10 Wheeler Cargo Truck
Vegetables,6630,crops,Dropside Truck
Frozen Fish,641,perishable goods,Small Refrigerated Van
Eggs,9621,perishable goods,10 wheeler Reefer Truck
Pigs,6761,livestock,Large Livestock Truck
Fruits,11440,crops,10 Wheeler Dump Truck
Pigs,9181,livestock,10 wheeler Livestock Truck
Fresh Vegetables,531,perishable goods,Small Refrigerated Van
Cows,5901,livestock,Large Livestock Truck
Corn,460,crops,Small Multicab
Frozen Fish,2631,perishable goods,Small Refrigerated Truck
Chickens,3901,livestock,Large Livestock Truck
Fruits,3280,crops,Large Pickup Truck
Goats,6811,livestock,Large Livestock Truck
Corn,2550,crops,Large Pickup Truck
Goats,801,livestock,Small Livestock Truck
Rice,1130,crops,Small Delivery Van
Leafy Greens,2581,perishable goods,Small Refrigerated Truck
Frozen Fish,5971,perishable goods,Large Refrigerated Truck
Rice,11430,crops,10 Wheeler Cargo Truck
Cows,1901,livestock,Medium Livestock Truck
Corn,12190,crops,10 Wheeler Dump Truck
Milk,6171,perishable goods,Large Refrigerated Truck
Meat,441,perishable goods,Small Refrigerated Van
Leafy Greens,10831,perishable goods,10 wheeler Reefer Truck
Meat,5751,perishable goods,Large Refrigerated Truck
Fresh Vegetables,9631,perishable goods,10 wheeler Reefer Truck
Frozen Fish,11891,perishable goods,10 wheeler Reefer Truck
Fruits,3050,crops,Elf Truck
Fruits,4690,crops,Dropside Truck
Meat,1741,perishable goods,Small Refrigerated Truck
Leafy Greens,4491,perishable goods,Medium Refrigerated Truck
Fruits,7770,crops,Dropside Truck
Fruits,1830,crops,Large Delivery Van
Leafy Greens,9101,perishable goods,10 wheeler Reefer Truck
Goats,6861,livestock,Large Livestock Truck
Vegetables,7840,crops,Dropside Truck
Milk,5381,perishable goods,Large Refrigerated Truck
Cows,5621,livestock,Large Livestock Truck
Rice,10550,crops,10 Wheeler Cargo Truck
Leafy Greens,9961,perishable goods,10 wheeler Reefer Truck
Cows,8261,livestock,10 wheeler Livestock Truck
Pigs,4581,livestock,Large Livestock Truck
Corn,390,crops,Tricycle
Chickens,1081,livestock,Small Livestock Truck
Vegetables,11810,crops,10 Wheeler Dump Truck
Leafy Greens,7841,perishable goods,Large Refrigerated Truck
Fruits,7200,crops,Dropside Truck
Rice,3400,crops,Elf Truck
Fruits,14290,crops,10 Wheeler Dump Truck
Frozen Fish,421,perishable goods,Small Refrigerated Van
Cows,9291,livestock,10 wheeler Livestock Truck
Fruits,5560,crops,Dropside Truck
Rice,11460,crops,10 Wheeler Cargo Truck
Eggs,8001,perishable goods,Large Refrigerated Truck
Goats,831,livestock,Small Livestock Truck
Chickens,11441,livestock,10 wheeler Livestock Truck
Rice,4230,crops,Heavy Duty Pickup Truck
Vegetables,6800,crops,Dropside Truck
Chickens,7501,livestock,10 wheeler Livestock Truck
Chickens,2271,livestock,Medium Livestock Truck
Milk,2171,perishable goods,Small Refrigerated Truck
Vegetables,10120,crops,10 Wheeler Cargo Truck
Rice,6760,crops,Dropside Truck
Rice,1110,crops,Large Multicab
Goats,3141,livestock,Large Livestock Truck
Corn,370,crops,Tricycle
Chickens,11661,livestock,10 wheeler Livestock Truck
Fruits,11310,crops,10 Wheeler Dump Truck
Meat,11871,perishable goods,10 wheeler Reefer Truck
Corn,14790,crops,10 Wheeler Dump Truck
Cows,8911,livestock,10 wheeler Livestock Truck
Corn,8980,crops,Dropside Truck
Corn,14570,crops,10 Wheeler Dump Truck
Vegetables,9820,crops,10 Wheeler Cargo Truck
Goats,11101,livestock,10 wheeler Livestock Truck
Goats,9061,livestock,10 wheeler Livestock Truck
Rice,11240,crops,10 Wheeler Dump Truck
Rice,2260,crops,Elf Truck
Chickens,9461,livestock,10 wheeler Livestock Truck
Vegetables,5120,crops,Dropside Truck
Milk,8461,perishable goods,Large Refrigerated Truck
Leafy Greens,5091,perishable goods,Large Refrigerated Truck
Fruits,7860,crops,Dropside Truck
Chickens,3851,livestock,Large Livestock Truck
Milk,11111,perishable goods,10 wheeler Reefer Truck
Goats,2191,livestock,Medium Livestock Truck
Milk,3151,perishable goods,Medium Refrigerated Truck
Corn,3400,crops,Heavy Duty Pickup Truck
Goats,821,livestock,Small Livestock Truck
Meat,2621,perishable goods,Small Refrigerated Truck
Cows,11911,livestock,10 wheeler Livestock Truck
Goats,3251,livestock,Large Livestock Truck
Corn,1960,crops,Elf Truck
Fruits,3420,crops,Heavy Duty Pickup Truck
Corn,8100,crops,Dropside Truck
Meat,7181,perishable goods,Large Refrigerated Truck
Vegetables,1140,crops,Small Pickup Truck
Fruits,4220,crops,Heavy Duty Pickup Truck
Pigs,3041,livestock,Large Livestock Truck
Corn,840,crops,Small Pickup Truck
Eggs,11031,perishable goods,10 wheeler Reefer Truck
Fresh Vegetables,7711,perishable goods,Large Refrigerated Truck
Leafy Greens,5361,perishable goods,Large Refrigerated Truck
Vegetables,4030,crops,Heavy Duty Pickup Truck
Pigs,3731,livestock,Large Livestock Truck
Eggs,5661,perishable goods,Large Refrigerated Truck
Rice,590,crops,Small Delivery Van
Milk,5871,perishable goods,Large Refrigerated Truck
Vegetables,7420,crops,Dropside Truck
Pigs,3621,livestock,Large Livestock Truck
Fresh Vegetables,5831,perishable goods,Large Refrigerated Truck
Vegetables,1320,crops,Medium Pickup Truck
Fruits,7690,crops,Dropside Truck
Fresh Vegetables,9401,perishable goods,10 wheeler Reefer Truck
Corn,10690,crops,10 Wheeler Cargo Truck
Rice,8690,crops,10 Wheeler Cargo Truck
Rice,3340,crops,Large Pickup Truck
Rice,11910,crops,10 Wheeler Dump Truck
Vegetables,1350,crops,Medium Pickup Truck
Cows,4401,livestock,Large Livestock Truck
Corn,11210,crops,10 Wheeler Dump Truck
Pigs,11,livestock,Small Livestock Truck
Vegetables,2130,crops,Large Pickup Truck
Fruits,12700,crops,10 Wheeler Dump Truck
Fruits,10940,crops,10 Wheeler Cargo Truck
Chickens,11961,livestock,10 wheeler Livestock Truck
Vegetables,5140,crops,Dropside Truck
Rice,5440,crops,Dropside Truck
Rice,2250,crops,Elf Truck
Corn,3420,crops,Large Pickup Truck
Rice,1400,crops,Large Multicab
Chickens,2821,livestock,Medium Livestock Truck
Eggs,7551,perishable goods,Large Refrigerated Truck
Pigs,1231,livestock,Small Livestock Truck
Corn,10600,crops,10 Wheeler Cargo Truck
Goats,10631,livestock,10 wheeler Livestock Truck
Fruits,12590,crops,10 Wheeler Dump Truck
Vegetables,10380,crops,10 Wheeler Cargo Truck
Goats,11971,livestock,10 wheeler Livestock Truck
Corn,8150,crops,10 Wheeler Cargo Truck
Vegetables,1000,crops,Small Pickup Truck
Pigs,7511,livestock,10 wheeler Livestock Truck
Milk,4621,perishable goods,Medium Refrigerated Truck
Rice,12540,crops,10 Wheeler Dump Truck
Cows,10161,livestock,10 wheeler Livestock Truck
Fruits,1110,crops,Large Delivery Van
Eggs,7481,perishable goods,Large Refrigerated Truck
Milk,1381,perishable goods,Large Refrigerated Van
Cows,1601,livestock,Medium Livestock Truck
Meat,201,perishable goods,Small Refrigerated Van
Meat,4321,perishable goods,Medium Refrigerated Truck
Fruits,4540,crops,Dropside Truck
Corn,8210,crops,10 Wheeler Cargo Truck
Milk,7301,perishable goods,Large Refrigerated Truck
Rice,4520,crops,Dropside Truck
Pigs,5871,livestock,Large Livestock Truck
Pigs,5631,livestock,Large Livestock Truck
Rice,1070,crops,Small Delivery Van
Vegetables,2630,crops,Elf Truck
Fresh Vegetables,1431,perishable goods,Large Refrigerated Van
Vegetables,12550,crops,10 Wheeler Dump Truck
Rice,11650,crops,10 Wheeler Dump Truck
Fruits,2950,crops,Elf Truck
Vegetables,1450,crops,Large Multicab
Milk,8691,perishable goods,Large Refrigerated Truck
Fruits,3550,crops,Heavy Duty Pickup Truck
Fresh Vegetables,6511,perishable goods,Large Refrigerated Truck
Eggs,11481,perishable goods,10 wheeler Reefer Truck
Fruits,7190,crops,Dropside Truck
Rice,710,crops,Small Multicab
Cows,3541,livestock,Large Livestock Truck
Corn,7650,crops,Dropside Truck
Corn,1080,crops,Small Delivery Van
Vegetables,5040,crops,Dropside Truck
Frozen Fish,7801,perishable goods,Large Refrigerated Truck
Rice,6400,crops,Dropside Truck
Rice,10400,crops,10 Wheeler Cargo Truck
Pigs,931,livestock,Small Livestock Truck
Leafy Greens,9681,perishable goods,10 wheeler Reefer Truck
Cows,10151,livestock,10 wheeler Livestock Truck
Eggs,10121,perishable goods,10 wheeler Reefer Truck
Goats,8671,livestock,10 wheeler Livestock Truck
Vegetables,11760,crops,10 Wheeler Cargo Truck
Goats,2761,livestock,Medium Livestock Truck
Chickens,5811,livestock,Large Livestock Truck
Corn,890,crops,Small Multicab
Leafy Greens,11131,perishable goods,10 wheeler Reefer Truck
Rice,2830,crops,Large Pickup Truck
Rice,11200,crops,10 Wheeler Dump Truck
Pigs,7251,livestock,10 wheeler Livestock Truck
Fruits,11650,crops,10 Wheeler Cargo Truck
Chickens,7401,livestock,10 wheeler Livestock Truck
Corn,12840,crops,10 Wheeler Dump Truck
Meat,8261,perishable goods,Large Refrigerated Truck
Milk,8191,perishable goods,Large Refrigerated Truck
Goats,971,livestock,Small Livestock Truck
Meat,10801,perishable goods,10 wheeler Reefer Truck
Cows,9591,livestock,10 wheeler Livestock Truck
Goats,7031,livestock,10 wheeler Livestock Truck
Cows,10231,livestock,10 wheeler Livestock Truck
Fruits,6700,crops,Dropside Truck
Fruits,10000,crops,10 Wheeler Cargo Truck
Corn,9440,crops,10 Wheeler Cargo Truck
Goats,4361,livestock,Large Livestock Truck
Corn,130,crops,Tricycle
Vegetables,530,crops,Small Multicab
Corn,11520,crops,10 Wheeler Dump Truck
Vegetables,10510,crops,10 Wheeler Cargo Truck
Cows,10331,livestock,10 wheeler Livestock Truck
Eggs,321,perishable goods,Small Refrigerated Van
Goats,7591,livestock,10 wheeler Livestock Truck
Rice,1650,crops,Elf Truck
Meat,5711,perishable goods,Large Refrigerated Truck
Fruits,8010,crops,Dropside Truck
Cows,7741,livestock,10 wheeler Livestock Truck
Corn,11020,crops,10 Wheeler Dump Truck
Vegetables,9970,crops,10 Wheeler Cargo Truck
Vegetables,1150,crops,Large Multicab
Vegetables,560,crops,Small Delivery Van
Rice,10210,crops,10 Wheeler Cargo Truck
Eggs,5701,perishable goods,Large Refrigerated Truck
Rice,13320,crops,10 Wheeler Dump Truck
Eggs,8061,perishable goods,Large Refrigerated Truck
Goats,11121,livestock,10 wheeler Livestock Truck
Frozen Fish,3301,perishable goods,Medium Refrigerated Truck
Milk,2061,perishable goods,Small Refrigerated Truck
Meat,3441,perishable goods,Medium Refrigerated Truck
Milk,9971,perishable goods,10 wheeler Reefer Truck
Pigs,8231,livestock,10 wheeler Livestock Truck
Frozen Fish,11291,perishable goods,10 wheeler Reefer Truck
Meat,3681,perishable goods,Medium Refrigerated Truck
Vegetables,11440,crops,10 Wheeler Cargo Truck
Corn,2220,crops,Large Pickup Truck
Corn,7030,crops,Dropside Truck
Fruits,13780,crops,10 Wheeler Dump Truck
Pigs,11371,livestock,10 wheeler Livestock Truck
Fruits,2060,crops,Elf Truck
Goats,1861,livestock,Medium Livestock Truck
Pigs,5911,livestock,Large Livestock Truck
Corn,3720,crops,Heavy Duty Pickup Truck
Corn,6330,crops,Dropside Truck
Milk,6711,perishable goods,Large Refrigerated Truck
